89	510
90	506
91	512
92	512
93	509
94	513
95	510
96	509
97	514
98	514
99	514
100	517
101	518
102	516
103	515
104	513
105	516
106	517
107	512
108	508
109	514
110	509
111	510
112	515
113	510
114	514
115	525
116	529
117	536
118	545
119	544
120	547
121	549
122	544
123	542
124	541
125	535
126	533
127	530
128	522
129	517
130	509
131	496
132	489
133	484
134	474
135	477
136	478
137	469
138	470
139	476
140	476
141	485
142	492
143	493
144	501
145	504
146	502
147	508
148	512
149	510
150	512
151	512
152	508
153	511
154	510
155	509
156	512
157	510
158	509
159	513
160	515
161	516
162	519
163	517
164	517
165	518
166	516
167	511
168	516
169	513
170	511
171	518
172	513
173	506
174	510
175	507
176	504
177	511
178	509
179	510
180	517
181	513
182	511
183	517
184	514
185	512
186	510
187	505
188	502
189	500
190	500
191	504
192	510
193	512
194	516
195	522
196	521
197	521
198	527
199	520
200	517
201	522
202	516
203	509
204	503
205	490
206	485
207	485
208	479
209	482
210	486
211	485
212	488
213	492
214	493
215	501
216	506
217	507
218	516
219	524
220	528
221	538
222	545
223	542
224	544
225	543
226	533
227	532
228	529
229	519
230	522
231	521
232	513
233	517
234	518
235	512
236	515
237	516
238	514
239	517
240	517
241	513
242	514
243	512
244	511
245	514
246	511
247	506
248	512
249	512
250	511
251	518
252	518
253	513
254	517
255	515
256	511
257	514
258	510
259	508
260	513
261	507
262	507
263	512
264	507
265	507
266	513
267	513
268	514
269	517
270	513
271	510
272	514
273	513
274	511
275	514
276	511
277	511
278	513
279	512
280	511
281	512
282	512
283	513
284	515
285	510
286	514
287	523
288	526
289	533
290	543
291	540
292	542
293	546
294	540
295	541
296	543
297	538
298	537
299	536
300	530
301	529
302	529
303	523
304	526
305	525
306	517
307	512
308	506
309	494
310	491
311	484
312	475
313	478
314	479
315	474
316	480
317	485
318	483
319	491
320	494
321	495
322	502
323	506
324	503
325	508
326	511
327	508
328	511
329	513
330	511
331	515
332	514
333	510
334	513
335	509
336	507
337	515
338	516
339	514
340	514
341	511
342	510
343	514
344	513
345	509
346	512
347	509
348	507
349	512
350	510
351	511
352	517
353	515
354	514
355	517
356	512
357	510
358	513
359	508
360	506
361	509
362	509
363	510
364	514
365	512
366	510
367	513
368	509
369	511
370	513
371	508
372	512
373	515
374	510
375	514
376	517
377	513
378	513
379	516
380	510
381	510
382	511
383	509
384	509
385	508
386	497
387	492
388	490
389	487
390	486
391	487
392	483
393	487
394	489
395	490
396	495
397	499
398	498
399	507
400	509
401	506
402	508
403	509
404	514
405	526
406	536
407	542
408	552
409	555
410	550
411	548
412	540
413	527
414	523
415	520
416	517
417	520
418	517
419	513
420	517
421	515
422	513
423	514
424	513
425	513
426	518
427	516
428	511
429	515
430	513
431	512
432	512
433	509
434	506
435	512
436	511
437	509
438	513
439	508
440	508
441	513
442	510
443	510
444	517
